2026-08-06 00:18:35.758 | INFO     | __main__:init_db:28 - Neon database schema ensured (tables created if missing).
2026-08-06 00:37:35.721 | INFO     | src.search.opensearch_client:get_opensearch_client:25 - Connected to OpenSearch cluster 'opensearch' v3.7.0
2026-08-06 00:40:11.014 | INFO     | src.search.opensearch_client:get_opensearch_client:25 - Connected to OpenSearch cluster 'opensearch' v3.7.0
2026-08-06 00:40:13.857 | INFO     | src.search.index_manager:create_index:75 - Created index 'arxiv-papers'
2026-08-06 00:42:56.754 | INFO     | src.ingestion.arxiv_client:fetch_recent:106 - Fetched 5 papers from arXiv category=cs.AI
2026-08-06 00:43:04.544 | ERROR    | __main__:run:41 - Pipeline failed for 2608.04007v1: (psycopg2.errors.UndefinedColumn) column "summary" of relation "papers" does not exist
LINE 1: INSERT INTO papers (arxiv_id, title, summary, authors, categ...
                                             ^

[SQL: INSERT INTO papers (arxiv_id, title, summary, authors, categories, primary_category, published, updated, pdf_url, doi, journal_ref, ingestion_status, created_at, updated_at) VALUES (%(arxiv_id)s, %(title)s, %(summary)s, %(authors)s, %(categories)s, %(primary_category)s, %(published)s, %(updated)s, %(pdf_url)s, %(doi)s, %(journal_ref)s, %(ingestion_status)s, %(created_at)s, %(updated_at)s) ON CONFLICT (arxiv_id) DO UPDATE SET title = %(param_1)s, summary = %(param_2)s, updated = %(param_3)s, updated_at = %(param_4)s]
[parameters: {'arxiv_id': '2608.04007v1', 'title': 'TurnSight: Turn-Level Hindsight Self-Distillation for Tool-Integrated Reasoning', 'summary': 'Tool-Integrated Reasoning (TIR) enables LLMs to solve complex tasks through iterative tool interactions. However, existing reinforcement learning met ... (984 characters truncated) ... nsive experiments on three benchmarks demonstrate the effectiveness of TurnSight. Our codes are available at https://github.com/quchangle1/TurnSight.', 'authors': '["Changle Qu", "Sunhao Dai", "Hengyi Cai", "Yuqi Zhou", "Xinran Chen", "Simon", "Jun Xu"]', 'categories': '["cs.CL", "cs.AI"]', 'primary_category': 'cs.CL', 'published': '2026-08-04T17:59:21+00:00', 'updated': '2026-08-04T17:59:21+00:00', 'pdf_url': 'https://arxiv.org/pdf/2608.04007v1', 'doi': None, 'journal_ref': None, 'ingestion_status': 'fetched', 'created_at': datetime.datetime(2026, 8, 5, 19, 13, 3, 268185), 'updated_at': datetime.datetime(2026, 8, 5, 19, 13, 3, 268185), 'param_1': 'TurnSight: Turn-Level Hindsight Self-Distillation for Tool-Integrated Reasoning', 'param_2': 'Tool-Integrated Reasoning (TIR) enables LLMs to solve complex tasks through iterative tool interactions. However, existing reinforcement learning met ... (984 characters truncated) ... nsive experiments on three benchmarks demonstrate the effectiveness of TurnSight. Our codes are available at https://github.com/quchangle1/TurnSight.', 'param_3': '2026-08-04T17:59:21+00:00', 'param_4': datetime.datetime(2026, 8, 5, 19, 12, 56, 798106)}]
(Background on this error at: https://sqlalche.me/e/20/f405)
2026-08-06 00:47:12.346 | INFO     | src.ingestion.arxiv_client:fetch_recent:106 - Fetched 5 papers from arXiv category=cs.AI
2026-08-06 00:47:18.144 | INFO     | src.ingestion.pdf_downloader:download:72 - Downloaded 2608.04007v1 -> pdf_cache\2608.04007v1.pdf (756.4 KB)
2026-08-06 01:27:14.447 | INFO     | src.ingestion.arxiv_client:fetch_recent:106 - Fetched 1 papers from arXiv category=cs.AI
2026-08-06 01:27:19.693 | DEBUG    | src.ingestion.pdf_downloader:download:53 - Cache hit for 2608.04007v1
2026-08-06 01:36:47.470 | INFO     | src.ingestion.arxiv_client:fetch_recent:106 - Fetched 1 papers from arXiv category=cs.AI
2026-08-06 01:36:52.780 | DEBUG    | src.ingestion.pdf_downloader:download:53 - Cache hit for 2608.04007v1
2026-08-06 01:37:36.251 | ERROR    | src.ingestion.docling_parser:parse:39 - Docling failed to parse 2608.04007v1: Conversion failed for: 2608.04007v1.pdf with status: failure. Errors: std::bad_alloc; std::bad_alloc; std::bad_alloc; std::bad_alloc; std::bad_alloc; std::bad_alloc; std::bad_alloc; std::bad_alloc; std::bad_alloc; std::bad_alloc; std::bad_alloc
2026-08-06 01:37:36.272 | ERROR    | src.ingestion.pipeline:run:41 - Pipeline failed for 2608.04007v1: Conversion failed for: 2608.04007v1.pdf with status: failure. Errors: std::bad_alloc; std::bad_alloc; std::bad_alloc; std::bad_alloc; std::bad_alloc; std::bad_alloc; std::bad_alloc; std::bad_alloc; std::bad_alloc; std::bad_alloc; std::bad_alloc
2026-08-06 01:37:38.108 | INFO     | src.ingestion.pipeline:run:46 - Pipeline run complete: {'fetched': 1, 'processed': 0, 'failed': ['2608.04007v1'], 'duration_seconds': 51.3}
2026-08-06 01:45:52.485 | INFO     | src.ingestion.arxiv_client:fetch_recent:106 - Fetched 1 papers from arXiv category=cs.AI
2026-08-06 01:45:58.185 | DEBUG    | src.ingestion.pdf_downloader:download:53 - Cache hit for 2608.04007v1
2026-08-06 01:48:07.784 | ERROR    | src.ingestion.docling_parser:parse:42 - Docling failed to parse 2608.04007v1: Conversion failed for: 2608.04007v1.pdf with status: failure. Errors: InvalidCxxCompiler: Compiler: cl is not found.

Set TORCHDYNAMO_VERBOSE=1 for the internal stack trace (please do this especially if you're reporting a bug to PyTorch). For even more developer context, set TORCH_LOGS="+dynamo"
; std::bad_alloc; std::bad_alloc; std::bad_alloc; std::bad_alloc; std::bad_alloc; std::bad_alloc; std::bad_alloc; std::bad_alloc; std::bad_alloc; std::bad_alloc
2026-08-06 01:48:07.821 | ERROR    | src.ingestion.pipeline:run:41 - Pipeline failed for 2608.04007v1: Conversion failed for: 2608.04007v1.pdf with status: failure. Errors: InvalidCxxCompiler: Compiler: cl is not found.

Set TORCHDYNAMO_VERBOSE=1 for the internal stack trace (please do this especially if you're reporting a bug to PyTorch). For even more developer context, set TORCH_LOGS="+dynamo"
